# World Cup 2026 official group draw. 48 teams, 12 groups of four. The top two
# of each group plus the eight best third-placed teams advance to a round of 32,
# then single elimination through to the final. These are the real, verified 2026
# groups. Three names use the dataset's spelling so every team resolves to its
# rating: Czech Republic (for Czechia), Turkey (for Turkiye), and Curacao with a
# cedilla (for Curacao). Hosts Mexico (A), Canada (B), and United States (D) play
# their group matches at home; all other group matches are neutral.
group,team
A,Mexico
A,South Africa
A,South Korea
A,Czech Republic
B,Canada
B,Bosnia and Herzegovina
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,United States
D,Paraguay
D,Australia
D,Turkey
E,Germany
E,Curaçao
E,Ivory Coast
E,Ecuador
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Iraq
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,DR Congo
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
